"id","latitude","longitude","elevation","state","name","gsn_flag","hcn_crn_flag","wmoid","geopoint"
US1LAEB0053,30.4089,-91.1058,9.1,LA,BATON ROUGE 3.0 SSE           ,   ,   ,,POINT(-91.1058 30.4089)
US1LAST0007,30.451,-90.0504,9.1,LA,ABITA SPRINGS 2.2 SSW         ,   ,   ,,POINT(-90.0504 30.451)
USC00161807,30.4,-91.2333,9.1,LA,CINCLARE                      ,   ,   ,,POINT(-91.2333 30.4)
US1LAEB0041,30.3876,-91.1372,9.1,LA,BATON ROUGE 4.3 S             ,   ,   ,,POINT(-91.1372 30.3876)
USC00168181,30.0858,-91.8694,9.1,LA,ST MARTINVILLE 3 SW           ,   ,   ,,POINT(-91.8694 30.0858)
USC00167161,30.45,-89.7833,9.1,LA,PEARL RIVER LOCK 1            ,   ,   ,,POINT(-89.7833 30.45)
USC00160367,30.35,-91.7167,9.1,LA,ATCHAFALAYA                   ,   ,   ,,POINT(-91.7167 30.35)
USC00166117,30.6833,-91.7333,9.1,LA,MELVILLE                      ,   ,   ,,POINT(-91.7333 30.6833)
USC00168139,30.2725,-91.0994,9.1,LA,ST GABRIEL                    ,   ,   ,,POINT(-91.0994 30.2725)
USC00165335,30.9667,-91.7167,9.1,LA,LETTSWORTH                    ,   ,   ,,POINT(-91.7167 30.9667)
USC00167678,30.3333,-92.2667,9.1,LA,RAYNE 6 N                     ,   ,   ,,POINT(-92.2667 30.3333)
US1LAAS0002,30.3294,-90.9151,10.1,LA,PORT VINCENT 4.4 W            ,   ,   ,,POINT(-90.9151 30.3294)
US1LAEB0054,30.4281,-91.0243,11.6,LA,BATON ROUGE 6.2 ESE           ,   ,   ,,POINT(-91.0243 30.4281)
US1LASM0001,30.3277,-91.8507,13.1,LA,CECILIA 0.6 SSW               ,   ,   ,,POINT(-91.8507 30.3277)
USC00165438,30.5197,-90.7544,13.1,LA,LIVINGSTON                    ,   ,   ,,POINT(-90.7544 30.5197)
